lookup_name,original_name,user_id
ayrilik,Ayrilik,133336546249146368
roles,Roles,889098512564899870
mdbluebird,mdbluebird,193905243522596864
fenrin,Fenrin,193905243522596864
6502_,6502_,755530866070913065
6502,6502,755530866070913065
lisa_hi5170546_50774,lisa_hi5170546_50774,1343900708600283137
moonlitassassin,moonlitassassin,316237726221467651
moonlitassassin,MoonlitAssassin,316237726221467651
itsbeeby,itsbeeby,648557399598301204
beeby,Beeby,648557399598301204
daverogan.,daverogan.,1360157413323575429
dave rogan,Dave Rogan,1360157413323575429
oo_el,oo_el,1083554892297277540
sophie_marie12,sophie_marie12,1365464277577633822
sophie,Sophie,1365464277577633822
embex5,embex5,554841161886597121
embex,Embex,554841161886597121
eniola09741,eniola09741,1346835733809205329
—͟͞͞★ℇᵑḯ𝗼𝙡ⲁ—͟͞͞★,—͟͞͞★ℇᵑḯ𝗼𝙡ⲁ—͟͞͞★,1346835733809205329
classwork,classwork,134766549704769536
classwork,Classwork,134766549704769536
kismet.vrc,kismet.vrc,926425168841175072
~kismet~,~Kismet~,926425168841175072
lennyjls,lennyjls,916397258549895179
lénes hopkins-chéry,Lénes Hopkins-Chéry,916397258549895179
ciell030,ciell030,464803406486437912
ᴄɪᴇʟ,ᴄɪᴇʟ,464803406486437912
alexstb,alexstb,372232971681398785
alexstb,AlexsTB,372232971681398785
darkmooncat,darkmooncat,723288959274320012
darkmooncat,DarkMoonCat,723288959274320012
realrockysolid,realrockysolid,171434033719410690
rocky (vacation mode),Rocky (Vacation Mode),171434033719410690
prime60038,prime60038,596097612059246602
timeparty,TimeParty,596097612059246602
hector5416,hector5416,461628572516483082
hector,Hector,461628572516483082
alexdrinkswater.,alexdrinkswater.,1354645486123880508
alex,alex,1354645486123880508
yukey_.,yukey_.,1161747495215452282
yukey,Yukey,1161747495215452282
dima1q,dima1q,505476180674215951
аниме,Аниме,505476180674215951
justerindale,justerindale,536007004225798164
just erindale,Just Erindale,536007004225798164
betterttv,BetterTTV,351227880153546754
junnjunnjunn,junnjunnjunn,313789478403702786
junn,JUNN,313789478403702786
elliesaurus,elliesaurus,92804996990500864
elliesaurus,Elliesaurus,92804996990500864
skylarjblue_20,skylarjblue_20,766208320541294623
💙just a touch of blue 💙,💙Just a Touch of Blue 💙,766208320541294623
mouziowo,mouziowo,1269070658189529140
mouzi,mouzi,1269070658189529140
.osiris.,.osiris.,670163440949788672
sun_child03,sun_child03,924356384223547495
☀the lights gremlin☀,☀The Lights Gremlin☀,924356384223547495
zane.2345,zane.2345,397652768703381525
zane.,zane.,397652768703381525
rootscastic,rootscastic,184831007327911948
rootscastic,RootScastic,184831007327911948
fullmetalgoat,fullmetalgoat,324328582237126656
fullmetalgoat💀,FullMetalGoat💀,324328582237126656
amyrainboom,amyrainboom,379012855997136897
amykindqueen,AmyKindQueen,379012855997136897
stargirlvrc,stargirlvrc,501948655834759195
st✰r girl,St✰r Girl,501948655834759195
mrmaximus97,mrmaximus97,264292721542430720
mrmaximus97,MrMaximus97,264292721542430720
shirotomo,shirotomo,301903703282286593
shiro tomo,Shiro Tomo,301903703282286593
tinylovercookies,tinylovercookies,1047746730835324968
♡𝐂𝗼𝗼𝐤𝐢𝐞𝐬!,♡𝐂𝗼𝗼𝐤𝐢𝐞𝐬!,1047746730835324968
elowen8934_,elowen8934_,1390305449949008014
elowen,Elowen,1390305449949008014
frankenhoomie,frankenhoomie,738288276753874984
alisha_anasthasius,Alisha_Anasthasius,738288276753874984
tsutsume_,tsutsume_,454643747771121674
tsutsume,Tsutsume,454643747771121674
mrwattsvr,mrwattsvr,821214940719218720
mrwattsvr,MrWattsVR,821214940719218720
karara,karara,140961604173955072
karawr,karawr,140961604173955072
at_co,at_co,276136241916018690
~atlas,~Atlas,276136241916018690
taglog7,taglog7,633012337519099914
mondocat,mondocat,652258861583171585
mondocat,MondoCat,652258861583171585
gaster04,gaster04,525436840774336542
gaster,Gaster,525436840774336542
regenstorm,regenstorm,169674718981390337
regenstorm,RegenStorm,169674718981390337
moondoodle,moondoodle,493020246580658177
moon,Moon,493020246580658177
g0r3g4l__,g0r3g4l__,960912738492747826
g0r3g4l,g0r3g4l,960912738492747826
williams042670,williams042670,1329052112801366159
williams (comms open),Williams (comms open),1329052112801366159
dusara,dusara,192366497270595584
dusara,Dusara,192366497270595584
scorpthrax,scorpthrax,752096054991781898
scorpthrax,Scorpthrax,752096054991781898
ph6801,ph6801,728989715113705582
pedro,Pedro,728989715113705582
n0cturnal._,n0cturnal._,1022547160975294566
-nocturnal,-Nocturnal,1022547160975294566
jesterjoke,jesterjoke,445933839139733505
jesterjoke,JesterJoke,445933839139733505
alexa.rose,alexa.rose,328726304876658690
røsɇ,røsɇ,328726304876658690
agressivedisco,agressivedisco,871933441275486289
killua,Killua,871933441275486289
killua,Killua,871933441275486289
jewfrosamurai.,jewfrosamurai.,685743363940679705
jewfrosamurai,JewfroSamurai,685743363940679705
thalio,thalio,283307534477950987
thalio,Thalio,283307534477950987
seen__it,seen__it,978303196466397215
seen it,Seen IT,978303196466397215
carolferguson_,carolferguson_,1330113894504468558
carol ferguson,Carol Ferguson,1330113894504468558
anon3ko,anon3ko,1037506503738937426
anon3k0,AnoN3k0,1037506503738937426
acechat14,acechat14,1177805056754597982
acechat14,Acechat14,1177805056754597982
xll_trouble,xll_trouble,768660649135439882
trøûbłę,Trøûbłę,768660649135439882
stizzz,stizzz,359948470569926657
stizzz,Stizzz,359948470569926657
rosemary0436,rosemary0436,1286141685822394420
ann,Ann,1286141685822394420
ogjaquency,ogjaquency,1274375280814723077
og jaquency,OG Jaquency,1274375280814723077
accord1891,accord1891,1106943200469463140
function,Function,1106943200469463140
rubixcreates,rubixcreates,261953445198561303
rubix,Rubix,261953445198561303
fknbena,fknbena,601269898340990997
bena,Bena,601269898340990997
noveltynaty,noveltynaty,377908614788284416
natbell.,NatBell.,377908614788284416
jjairo1953,jjairo1953,892591892024406097
jjairo,JJairo,892591892024406097
shimbashistation,shimbashistation,140517320698101760
ixa,IXA,140517320698101760
_noxraquel,_noxraquel,1161819867373121557
𝕽𝖆𝖖𝖚𝖊𝖑𝖃࿐,𝕽𝖆𝖖𝖚𝖊𝖑𝖃࿐,1161819867373121557
soulvictus,soulvictus,77519090310197248
soulvictus,SoulVictus,77519090310197248
souluna,souluna,482161138377949194
soulunamia,SoulunaMia,482161138377949194
areamitsu,areamitsu,938884800964624494
areamitsu😈,AreaMitsu😈,938884800964624494
culturedplates,culturedplates,1272273906342035591
cultured plates,Cultured Plates,1272273906342035591
bleachstreak,bleachstreak,680208172979585050
bleachstreak,Bleachstreak,680208172979585050
grin.n.bareit,grin.n.bareit,622302876647030795
soursang,SourSang,622302876647030795
jansey_vt,jansey_vt,161485345265942528
jansey_,Jansey_,161485345265942528
keellshin,keellshin,146922902170632192
keell,Keell,146922902170632192
kittybeanzzz,kittybeanzzz,319573173815345152
ღ𝓜𝓲𝓼𝓼 𝓚𝓲𝓽𝓽𝔂ღ,ღ𝓜𝓲𝓼𝓼 𝓚𝓲𝓽𝓽𝔂ღ,319573173815345152
misspoptart,misspoptart,121121229535969280
poptart / auri,poptart / auri,121121229535969280
persafunktant,persafunktant,208597737632038912
persafunktant,Persafunktant,208597737632038912
moomievt,moomievt,321110894618607617
moomie_vt,Moomie_VT,321110894618607617
advsyednaeemshah,advsyednaeemshah,1388779646119841852
syed naeem shah,Syed Naeem Shah,1388779646119841852
chowchow21,chowchow21,126034595882860544
chowchow,ChowChow,126034595882860544
nekobro_123,nekobro_123,919914140670234634
neko bro,Neko Bro,919914140670234634
upperechelon_321,upperechelon_321,1286673351862911047
upper echelon,Upper Echelon,1286673351862911047
thecastlevr,thecastlevr,259153735006158848
castle,Castle,259153735006158848
pinkicloud,pinkicloud,1222293216468926625
pinkicloud,PinkiCloud,1222293216468926625
docphobic,docphobic,230195302395543562
jack slothington,Jack Slothington,230195302395543562
noxxynyte,noxxynyte,1016725161157857332
noxxynyte,NoxxyNyte,1016725161157857332
ultra50cal,ultra50cal,441264170764337163
ultramekanic,UltraMekanic,441264170764337163
eyrar.,eyrar.,640974319022899230
loronus,loronus,119480276748468224
loronus,Loronus,119480276748468224
ayoh.,ayoh.,109386928834523136
a̲y̲o̲h̲,A̲y̲o̲h̲,109386928834523136
slowflood,slowflood,216987965304340481
tris_vr,tris_vr,240018415207579649
tris,Tris,240018415207579649
notarobotcat,notarobotcat,150338531582148608
xanori,Xanori,150338531582148608
zenjiguru,zenjiguru,778145332139524116
zenjiguru,ZenjiGuru,778145332139524116
pukestagram,pukestagram,558746018632564739
herds,herds,558746018632564739
jayconius,jayconius,219468837718982656
jayconius,Jayconius,219468837718982656
sekiera,sekiera,376461010904547358
seki,seki,376461010904547358
sham_67,sham_67,698649735417823423
sham,Sham,698649735417823423
pronox_,pronox_,124529348823744512
pronox,Pronox,124529348823744512
hotaruchim,hotaruchim,700373107843661841
hotaruchim,HotaruChim,700373107843661841
smallfry3694,smallfry3694,387399668008484864
smallfry3694,SmallFry3694,387399668008484864
aaliyah2000_22254,aaliyah2000_22254,1346224490878730388
aaliyah,Aaliyah,1346224490878730388
.prince.casanova.,.prince.casanova.,358920950416408578
prince casanova,Prince Casanova,358920950416408578
shadowwolf3499,shadowwolf3499,728133624628641872
shadow~wolf,Shadow~Wolf,728133624628641872
.rivlia,.rivlia,383123978631249920
alesnya,alesnya,280165854254202880
alesnya,Alesnya,280165854254202880
mismos,mismos,340304794445021186
mismos,Mismos,340304794445021186
mookiemuu,mookiemuu,1354273521710137476
✩ veve ☾,✩ VeVe ☾,1354273521710137476
ellie_66137,ellie_66137,1273628704698011660
ellie,ellie,1273628704698011660
poibutler,poibutler,111368640581951488
poibutler,PoiButler,111368640581951488
hekishi,hekishi,315172067207020544
hekishi,HEKISHI,315172067207020544
woowanghama,woowanghama,952055222811906119
우왕하마,우왕하마,952055222811906119
mariae08,mariae08,1346976167546322944
໑₊ ˚✧ｍăгℹ𝒶ɛ꒷꒦‧₊˚,໑₊ ˚✧Ｍăгℹ𝒶Ɛ꒷꒦‧₊˚,1346976167546322944
beckielovesbeckie,beckielovesbeckie,850969349590220800
rebecca,Rebecca,850969349590220800
trxepic,trxepic,804859796352270337
trixi,Trixi,804859796352270337
krisella,krisella,260059517599875072
krisella,Krisella,260059517599875072
davosnl,davosnl,368090843204288523
davos,Davos,368090843204288523
nimueh_blade09347,nimueh_blade09347,1079503476175933470
hyperinactive,hyperinactive,195150503338967040
zlyuka0452,zlyuka0452,1365399596398022768
zlyuka,Zlyuka,1365399596398022768
qry99,qry99,204572389206523904
qry99,qRy99,204572389206523904
midori52,midori52,618060042695868444
midori52,Midori52,618060042695868444
y_kiko,y_kiko,1042470110926999552
yakiko,Yakiko,1042470110926999552
yakiko,Yakiko,1042470110926999552
woobus,woobus,195901522343624705
smol person,Smol Person,195901522343624705
julien8199795,julien8199795,718893481107390485
julien819,julien819,718893481107390485
merqtxxx,merqtxxx,674114765492322305
^^kiτsนňeℕiňgℽ𐍉--<彡,^^KiτsนŇeℕiŇgℽ𐍉--<彡,674114765492322305
alza,alza,258255433645424642
yaoming890,yaoming890,525154259461865472
𝕸𝖎𝖓𝖌,𝕸𝖎𝖓𝖌,525154259461865472
mattchew123,mattchew123,1082215187672735744
mattchew123,MattChew123,1082215187672735744
cyeker,cyeker,573570305960837122
cyeker,Cyeker,573570305960837122
cyeker,Cyeker,573570305960837122
.ceri007,.ceri007,509187245362905109
~ceri~ 🌸,~Ceri~ 🌸,509187245362905109
rickybobbytheking,rickybobbytheking,1102744856750727190
pinky,Pinky,1102744856750727190
syynthh_,syynthh_,626393926273859596
syynthh,Syynthh,626393926273859596
thomasjohnson0456,thomasjohnson0456,1368611151772127443
wet,Wet,1368611151772127443
.moonstress,.moonstress,359819140263051265
moonstress,Moonstress,359819140263051265
logainzy,logainzy,175564616586231809
logainz,LoGainz,175564616586231809
darkgoaty,darkgoaty,524511834103873546
papicyb3r.,papicyb3r.,1351912622542291017
ddfxcoownerxcy,DDFxCoOwnerxCy,1351912622542291017
hammertime,HammerTime,964106782790283295
metaphira,metaphira,824130324870856714
_gummy,_gummy,114742471556071430
gummy,gummy,114742471556071430
dangerlights,dangerlights,813964284068757544
dangerlights!!!,dangerlights!!!,813964284068757544
_grrraces_,_grrraces_,693774418727534593
grace,Grace,693774418727534593
krogenth,krogenth,109515173127016448
krogenth,Krogenth,109515173127016448
boostedblitz,boostedblitz,951282679553343488
*𝑩𝒍𝒊𝒕𝒛 🧨,*𝑩𝒍𝒊𝒕𝒛 🧨,951282679553343488
kingstalon,kingstalon,307890244298997760
kingstalon,KingsTalon,307890244298997760
mizu_k0223,mizu_k0223,733908633716523110
mizu k,mizu k,733908633716523110
dashfinite,dashfinite,247303487401099265
dash,Dash,247303487401099265
darilbalde.,darilbalde.,512197628403122177
frenzy,Frenzy,512197628403122177
suijgeorgius,suijgeorgius,171718812532473856
suij,Suij,171718812532473856
2dorky4u,2dorky4u,731626330747175093
flamingc0nfetti,flamingc0nfetti,731626330747175093
sammykatie1211,sammykatie1211,1385044251825672202
sammykatie1211,Sammykatie1211,1385044251825672202
koiroi,koiroi,832812863021907968
koi roi,Koi Roi,832812863021907968
surichan,surichan,105888285775134720
phoenix051323,phoenix051323,1285656355021131792
phoenix,Phoenix,1285656355021131792
adikitty,adikitty,401707607884038154
adi,Adi,401707607884038154
aqua_teto,aqua_teto,875220741149306921
aqua,Aqua,875220741149306921
switch2nintendo,switch2nintendo,611142140449521674
switch2nintendo,Switch2Nintendo,611142140449521674
kulimuh666,kulimuh666,403480073656860672
ventilelorbet,ventilelorbet,122530230962225153
ventile lorbet,Ventile Lorbet,122530230962225153
luckynmb13,luckynmb13,863151201499742219
luckynmb13,Luckynmb13,863151201499742219
hana6151,hana6151,591972520161312781
はな,はな,591972520161312781
ivisson5199,ivisson5199,690995853103595662
ivisson,Ivisson,690995853103595662
itdobe0ri,itdobe0ri,584240109419757571
~ori~,~Ori~,584240109419757571
deer.girl,deer.girl,136912528595877888
steph,Steph,136912528595877888
i_am_neuxs,i_am_neuxs,1226900196076818543
🜲『 ⚝ 𝓘 𝓪𝓶 𝓝𝓮𝓾𝔁𝓼 ⚝ 』,🜲『 ⚝ 𝓘 𝓪𝓶 𝓝𝓮𝓾𝔁𝓼 ⚝ 』,1226900196076818543
gobbu_,gobbu_,328455051159011328
gobbu,Gobbu,328455051159011328
atomsk3282,atomsk3282,357596328299200534
atomsk,Atomsk,357596328299200534
alex.iii,alex.iii,831481795434119208
alex~,Alex~,831481795434119208
clyd3kris,clyd3kris,275602113176797186
clydekris,clydekris,275602113176797186
talontsm,talontsm,411343843280158741
talontsm,TalonTSM,411343843280158741
kiranros3,kiranros3,726551296118751323
kiran rose,Kiran Rose,726551296118751323
hannah_vrc0_08533,hannah_vrc0_08533,1359636170614509618
hannah,Hannah,1359636170614509618
shadowblade82,shadowblade82,1244914989114855540
shadowblade0,shadowblade0,1244914989114855540
lowdisan,lowdisan,486916207300182037
lowdisan,Lowdisan,486916207300182037
ashmoney69,ashmoney69,166322439351959552
ash money,Ash Money,166322439351959552
devon002,devon002,1304519277323489402
🎶🎼🌻𝙷ᵢ𝐦ą𝕣ï🌻🎼🎶,🎶🎼🌻𝙷ᵢ𝐦ą𝕣ï🌻🎼🎶,1304519277323489402
wisherbythewell,wisherbythewell,942882012618956800
silence,Silence,942882012618956800
rubyrose2077,rubyrose2077,172577052367650817
ruby rose,Ruby Rose,172577052367650817
umhkaywutevr,umhkaywutevr,913600885379182674
trickle528,trickle528,212026025947824129
artyjaywolf,artyjaywolf,263083592274542600
artyjaywolf (rj),ArtyJayWolf (RJ),263083592274542600
weekend_getaway,weekend_getaway,1130250222744907806
itachitheangel,itachitheangel,176393506326183937
itachitheangel,Itachitheangel,176393506326183937
byronpennington_44717,byronpennington_44717,1387563863465005107
byron pennington,Byron Pennington,1387563863465005107
cjjj,cjjj,302858005873950722
cjjj,CJJJ,302858005873950722
nova_z3r0,nova_z3r0,508397823952289794
n̷̿̂ȇ̴̿k̷̃̃r̵̂́ó̴͝s̸̃͛9̴̇7,N̷̿̂ȇ̴̿k̷̃̃r̵̂́ó̴͝s̸̃͛9̴̇7,508397823952289794
violetgold,violetgold,598285474599141426
violetgold,VioletGold,598285474599141426
rocy779,rocy779,1245042936127684659
rocness,Rocness,1245042936127684659
xiiro,xiiro,326105694279434241
xiiro,XIIRO,326105694279434241
rosettawolf,rosettawolf,202298261615280138
rosetta wolf,Rosetta Wolf,202298261615280138
b.jet.,b.jet.,530232670207344641
biddy,Biddy,530232670207344641
metaldragon416,metaldragon416,111851481329627136
metaldragon416,Metaldragon416,111851481329627136
oesam_72021,oesam_72021,1300678857275211847
oesam,oesam,1300678857275211847
olad0184,olad0184,1266867318533652604
olad,Olad,1266867318533652604
bahamut_0,bahamut_0,498978102903308300
bahamut,Bahamut,498978102903308300
princegriffon,princegriffon,216228896025083906
princegriffon,PrinceGriffon,216228896025083906
hreyan5259,hreyan5259,908106740875296779
hreyan,hreyan,908106740875296779
kongouluis,kongouluis,307280950801334282
kongou luis,Kongou Luis,307280950801334282
licher0825,licher0825,1069990002437660732
lücher,Lücher,1069990002437660732
ponomaniac,ponomaniac,294315034035748865
ponomaniac,PonoManiac,294315034035748865
ponomaniac,PonoManiac,294315034035748865
nyxevi,nyxevi,251498782141841408
nyxevi,NyxEvi,251498782141841408
ak1res,ak1res,195378741289943050
akires,Akires,195378741289943050
indifferent broccoli bot,Indifferent Broccoli Bot,862832427936645141
yutahma,yutahma,320905770097049600
yutah,Yutah,320905770097049600
voltiec,voltiec,237314500523458560
voltiec,Voltiec,237314500523458560
1.ghost_.,1.ghost_.,878724312297775124
✧.*𝓓𝓻𝓸𝔀𝓷𝓲𝓷𝓰*.✧,✧.*𝓓𝓻𝓸𝔀𝓷𝓲𝓷𝓰*.✧,878724312297775124
danofer,danofer,130570578028527616
danofer,Danofer,130570578028527616
mrbanana,mrbanana,277192063702007821
mrbanana,MrBanana,277192063702007821
unifiction,unifiction,412988324723032074
billyboy,BillyBoy,412988324723032074
cheems_doge,cheems_doge,196093399688937473
cheems doge,Cheems Doge,196093399688937473
spyy,spyy,832769069764575322
pillowcandi,pillowcandi,227975901684563969
p̶i̶l̶l̶o̶w̶c̶a̶n̶d̶i̶,P̶i̶l̶l̶o̶w̶C̶a̶n̶d̶i̶,227975901684563969
lotus7084,lotus7084,282757724771713025
lotus,Lotus,282757724771713025
sk8rpunk4ever,sk8rpunk4ever,1002227868685844571
sk8r,sk8r,1002227868685844571
novahyphen,novahyphen,407788360728313866
novahyphen,NovaHyphen,407788360728313866
tickets v2,Tickets v2,1325579039888511056
the_fracture,the_fracture,785247036618309643
fracture,Fracture,785247036618309643
dymplz.,dymplz.,844230427946385489
dymplz,dymplz,844230427946385489
fig3d,fig3d,894758089675378719
fig3d,Fig3D,894758089675378719
spookinami,spookinami,629133333472739328
spooky,spooky,629133333472739328
skyesage,skyesage,889408628539408415
skyesage,SkyeSage,889408628539408415
skyesage,SkyeSage,889408628539408415
2744400yuyu,2744400yuyu,1337261272420581447
yuyu95,yuyu95,1337261272420581447
kaitonial092,kaitonial092,1207410822884626463
kaitoniya tunishoa,Kaitoniya tunishoa,1207410822884626463
mofaka,mofaka,211520142016905216
mofaka,Mofaka,211520142016905216
spookyamor,spookyamor,771954395390279692
♡spooky♡,♡Spooky♡,771954395390279692
slipcool,slipcool,542943903091785728
slip,slip,542943903091785728
poke_92562,poke_92562,1300686993474453598
poke,Poke,1300686993474453598
honkeyz,honkeyz,369194973419143179
honkeyz,Honkeyz,369194973419143179
squishyfoxyy,squishyfoxyy,267026086318178304
squishyraccoon,SquishyRaccoon,267026086318178304
sam.major,sam.major,229972125241311232
cmajor7,CMajor7,229972125241311232
_iimonichouii_,_iimonichouii_,736755805453418627
‧₊˚ ☁⋅ʟʏʀɛ♡𓂃 ࣪ ִֶָ☾.,‧₊˚ ☁⋅ʟʏʀɛ♡𓂃 ࣪ ִֶָ☾.,736755805453418627
unhingedfilth,unhingedfilth,1176880628856270968
unhinged filth,Unhinged filth,1176880628856270968
kittykatara,kittykatara,230761493732261888
katara,Katara,230761493732261888
